content,rating
"Mình k ở nhà, nhờ ngừoi nhà nhận hộ thì hộp như thế này đây, mở ra được luôn. Một bên bìa hộp thì rách đôi (có video nhưng ở đây k có mục up vid). Sách thì có vết như kia. Nhìn ảnh thì cũng bình thường nhưng thực tế nhìn ở bên ngoài và bản thân lại là người đi mua sách mới mà bị như vậy rất là khó chấp nhận. Mong Tiki xem xét lại khâu đóng gói hàng và nhân viên giao hàng.",2
"Sách mới tinh, có màng bọc, giấy ok mà, giao hàng nhanh, đóng hộp chắc chắn. Mình mua lúc sale 40% nên lúc ý giá gần bằng giá bìa mềm nên mk đã chọn bìa cứng. Mặc dù giá bìa cứng bản của Mạnh Chương dịch rẻ hơn nhưng mk thấy bản của Nguyễn V Phước dịch hay hơn nên vẫn ch Thật may là k bị lỗi gì. Thật tuyệt vời. Nội dung thì k phải bàn cãi nữa, quá nổi tiếng rồi.",5
"Đặt hàng 1/8/2021 Nhận hàng 25/9/2021 Dịch bệnh giản cách nên giao hàng chậm thì mình thông cảm. Nhưng nhận được thùng hàng đã bị rách đến mức ""hả họng"" ra hết. Sách là mặt hàng dễ bị ướt hư hỏng mà gói hàng rất cẩu thả, không chống nước và chồng sốc. May là lấy ra chỉ bị móp góc nhẹ. Mình tin dùng mà mua hàng Tiki cả trăm triệu rồi, nhưng đây là lần đầu mình complain về khâu đóng gói và kho hàng.",2
"Từ trc đến giờ mình ch bh tin tưởng khi mua ở tiki hay Lazada. Đây là lần đầu tiên mình đặt hàng ở tiki và đúng là không làm mình thất vọng. sách rất chất lượng, mình mua hẳn 1 lúc 5 quyển, còn 1 quyển ""tuổi trẻ đáng giá bao nhiêu"" cho con bạn mượn rùi. Đắc nhân tâm có bọc giấy bóng bên ngoài đoàng hoàng, shop rất uy tín và cẩn thận!",5
"Sách rất tốt, được đóng gói vô cùng cẩn thận. Chưa kể sách cũng đẹp và mới tinh. Chuyển phát bên tiki rất nhanh nhẹn, mới đặt tối hôm trước mà sáng hôm sau đã có thể nhận được hàng về rồi. Mk rất hài lòng về sản phẩm. Cảm ơn tiki, mông tiki có thể phát triển hơn nữa.",5
"Lần đầu mua hàng của tiki phải nói là thực sự hài lòng, giao hàng nhanh mới đặt tối hôm trước sáng hôm sau có rồi, bọc hàng cẩn thận, hộp đẹp sách k lỗi lầm gì, lần đầu mua mà thấy ấn tượng với tiki rồi đó, sách mình mới đọc được 1/4 nhưng đã thấy hay rồi chắc k cần phải rivew thêm, sẽ ủng hộ tiki dài cho 5sao",5
"Mình chưa đọc sách nhưng được giới thiệu là sách này rất hay, mong là cuốn sách này sẽ giúp mình thay đổi cuộc sống tốt hơn, mình rất hài lòng về chất lượng sách đã nhận được. Đóng gói rất cẩn thận và sách còn nguyên seal, phẳng phiu, không dập góc.",5
"Tôi đã được bạn bè giới thiệu quyển này. Sách giúp tôi biết cách đối xử giữa người với người trong xã hội hiện đại ngày nay. Không dừng lại ở đó, nó còn giúp tôi trở nên trưởng thành và thành công trong công việc mà tôi lại không ngờ tới. Hy vọng các bạn sẽ mua và thưởng thức quyển sách này.",5
Sách khá ổn nhưng mình hơi thất vọng vì những trang đầu bị dính lại với nhau khi mình gỡ ra thì bị rách nhẹ. Mấy trang sau rất tốt nhưng đối với người giữ sách kĩ như mình có hơi thất vọng một tí. Nhưng mình quyết định cho 4 sao vì nhìn chung tổng thể khá ổn.,4
"wow, quá tuyệt vời, cuốn sách quá đỉnh. đúng là tiki ko làm mình thất vọng. cuốn sách xứng đáng được 1000 sao. hihi. còn về nội dung thì ko còn bàn cãi nữa. đây là cuốn sách của mọi thời đại mà, bản dịch trôi chảy lôi cuốn và rất hay. ô, cảm ơn tiki, thật sự là v",5
"Lần đầu mua hàng ở tiki cảm thấy rất ưng ý. Sản phẩm được đóng gói rất cẩn thận và kĩ càng, giao hàng nhanh, chị shipper còn rất dễ thương. Chưa đọc sách nhưng chất lượng của Đắc nhân tâm hẳn là không thể nghi ngờ",5
